theta,r
0.8812264397717078,2.3236274036111726
1.255041185089114,2.6849926967410354
1.65799257198136,3.2759604563056453
2.499763664115726,3.949044606895634
1.3656992807607766,3.3256637474568054
1.9130729898959185,3.67024122143628
1.9125114412539563,3.1061061432433865
1.407934132905873,3.7237525833652914
1.5467015486768765,2.9217314102381082
1.8027624894191652,2.8641399684504725
2.1079491318898365,2.3004315314458745
1.1311159005975102,2.418412521499973
0.7652923646775508,3.011415332667731
2.0308542865939114,3.9103317744919406
1.9795319172814205,3.434071957073494
0.18348917318546532,3.756314152085101
1.6203038680611086,2.94496257984494
2.0374624089809905,1.7333156188091992
2.326012385930993,2.8225423032312955
0.13212603008420065,2.591548594321634
2.4093089834850736,3.306427041554427
1.5055833204101954,3.490855166215817
1.3102084863915973,2.5359059899959915
1.1632798277344858,3.0906846570309847
1.6858983181261074,4.222864040009304
1.3433056952086142,2.3371386016407256
1.5591133590209856,4.394319650310082
1.2820540572050283,2.8957366161439726
1.135029048510948,3.803212389295905
1.636478638779778,2.984381076608967
1.6225839212599187,3.385231932356751
1.4897823096392213,3.976296144556992
1.613321220280554,2.8935513543139093
1.179619105007138,2.120998023199582
1.3098796916497066,2.87108616770046
1.3007994125510907,2.4635738737290107
1.4855506586229406,2.1582129482135595
2.655291065089462,2.0115459303264456
1.2318272396154921,3.4155898811937364
0.9834298311196942,3.143314410525985
0.9368466121436754,3.542633522188786
2.7058416349563847,3.3681795485031034
2.0432243628222384,2.686657656251727
0.7554625102444535,2.7169747281405163
1.1063338666600626,2.10978501319107
1.408371809771991,2.7720074667269876
1.676767227507478,3.2720276608792664
0.8961377154361955,2.335804308452488
1.2517032404906008,3.6846139188986786
1.1753208241039763,2.757794753850605
6.141880444664895,1.8496083429600345
2.1006437283322485,2.9614873403026682
1.718400307905929,4.3759294005036
0.9215263807069852,2.721672106232443
1.0085988942299637,2.3375094762032553
1.1003445006974082,2.9322451422620097
1.683636541019835,3.4964993792639087
2.4649515727321147,3.881375829992809
1.521488889530092,2.7411638451069553
1.9590465808698974,3.3059135068696452
1.5776669921882847,3.070894448424293
1.0189181818923319,3.2451361274749475
1.7436905428758231,3.351158698459902
2.1350106391954355,1.7657926290641515
1.8517328733066123,3.3966177566127276
1.7969029796544043,2.666761038550462
0.9256011929467804,3.302867070106403
1.6792872464668862,2.1172066544433994
1.5022590419998656,3.3875832762978058
2.1288409985670604,2.9425977929867537
2.358706693964453,3.6056896112857726
1.3541927337334108,3.579632606553706
1.8356459810349486,2.750454464249578
1.1808151759415724,2.032116415644843
2.14287241531041,2.1553278125268616
1.7311143276691974,3.2339748824411654
0.9760891866295394,2.5914861873797337
1.0216429115136043,3.2462237564686722
1.8013394362039405,3.2705294041049218
0.9207052316957959,1.8110783792379892
1.727008568859453,3.95315641767754
1.242170818283284,3.417893924082514
2.3716644276863557,3.8267328495891446
0.6613471112778376,3.67545075947904
1.7200281299386297,3.0344284690199292
1.8683430048363152,3.493629279950035
1.9619073838744847,2.7516165500713994
1.6950854496476904,1.7540896733625322
1.480797344963135,3.8043199651541535
0.8164991416563382,3.3924425231637607
0.3082371752081323,4.30802133662281
2.616915639174463,2.9253036428765085
1.5380129716099888,2.454301457948648
1.440345304852785,3.591754553708606
2.205251455862971,3.4177227046948118
1.7553238038463765,1.8603909486993908
1.3629273567264704,3.2189229849050247
1.11604843392595,3.4786155836657944
2.094216769229199,2.7140151022767736
2.051177548823079,2.2824382331696387
0.012138365829479802,3.501141524855262
1.1217700444189826,2.978789268730435
1.5794032926279984,2.3317581720052982
2.4200023742883308,3.650600955745409
1.7773325524632262,3.018028517665232
1.9252850497806395,3.151041006829134
2.6416908939885215,3.0066206748513604
1.8607706433966569,2.7716965991387714
1.0210038129819548,2.8749473786411643
1.4841410112364006,2.3997772462865306
2.060478003388062,3.337598910683491
1.734355070399057,2.945990621318601
1.738633234016227,4.2788546777950875
1.6301751234493358,3.7700672718867154
1.8087341281673401,3.07955047647783
0.9214916556671721,3.0121737403950726
2.2691630895712587,1.8421636739556586
2.2642796449067024,1.7092265094715067
2.340057040337242,2.781056398917349
1.6570099526151096,3.2896523784133866
1.2797301538667074,2.3036868298024755
1.8137982158946242,2.7088451864889773
1.7899874473810273,2.245189626903082
1.361748093370157,2.8465115343251344
1.7874539300908658,2.540604530384652
1.3593758024237346,3.533532134916416
2.1661328204975545,3.014216171059581
2.0818639395003364,2.3688174105930067
1.8729582443179535,3.389675610622155
1.0620737306198402,2.4668384348006986
2.938900604740133,2.284584932767146
1.5932238377748782,2.2880006022211283
1.0608813723055581,2.7331862945055008
1.8964211542612162,3.2863235339060566
1.8811202315733166,3.4971711320071877
0.615115889891611,2.3647403086551115
1.22737639716596,3.630247787484707
1.3763345088843593,2.780921256282527
1.5319769244467487,2.972349144384739
1.4407648745311339,3.318733804691938
2.0198232396944156,2.8919698793184723
2.2522487381278546,4.665526820076832
2.48847542422572,3.3372656916602716
1.660324298290845,2.5578833885632317
2.339506414589719,4.073894108702959
2.558617422674395,2.8950597573835304
0.759912871843002,3.458266966093458
1.9289054517637438,3.4609514426036903
0.8065087215918333,3.4665078931159785
1.3720707107940115,3.2584415349083327
1.6479717181765225,3.125363628242277
1.5790040687963278,2.7305176939677347
2.0028779965051746,3.7601389176015125
1.93075042724417,2.600740335610407
1.5463913100615276,2.4097211065398896
1.7163762108390224,3.0125027704178264
1.3628427953762488,3.2684467712425915
2.080869526610554,2.376811279207678
2.088152032636499,3.510549803048442
1.6513297803932097,3.698686678621564
1.860080395067369,2.3700586829196233
1.8523664252388845,3.100778311276828
2.6474122008881698,3.3377798112091313
1.8449283100570133,2.0235585337686226
1.4970132197306483,2.9182349901863263
1.4470182588834766,2.1725944191959643
0.9846837197510622,4.023414231783681
1.375008603513166,2.7673767035151133
1.8285168238706446,2.059733995090238
1.6594192180691718,3.160117966046009
1.1032113179785727,2.717248936423954
0.8050940278134019,3.374322079663611
0.8179857663292366,2.3487798662708284
1.015846848520257,3.2664801366100225
2.063277967204557,2.8055628430538992
1.6420972670227867,3.0595985355227464
1.059342561266416,3.705639018525335
1.3954863685545738,2.637556289081418
1.853428109488068,3.4666022084482697
1.9273671041761722,3.140127909401975
1.684560047167907,3.6653341623376243
0.503267933147834,2.508108463858968
1.4690301567579145,2.789314115543024
1.1921851867835382,2.9126108197778935
0.35162076437820655,2.7319742468859527
1.431608720388477,3.386945427470694
1.3818462725520844,3.169056928480815
0.6884495296871337,3.5135187377703234
1.7845549713265225,3.9329299819648815
1.306547571268414,3.257131704932886
2.047671739763874,2.4220840590406407
1.540172248458178,2.904506257509103
0.7481961567646106,2.1334443936317045
1.3871600329133063,2.6920662907880204
2.301251800713391,3.292424063187024
1.5493809598140742,3.420667679829388
1.2358055711962792,2.5303260613832133
2.3610439808342374,3.690438512506345
